ticker,company
GAZP,ГАЗПРОМ ао
SBER,Сбербанк
LKOH,ЛУКОЙЛ
YNDX,Yandex clA
RUAL,РУСАЛ ао
GMKN,ГМКНорНик
ROSN,Роснефть
VTBR,ВТБ ао
NLMK,НЛМК ао
ALRS,АЛРОСА ао
CHMF,СевСт-ао
TATN,Татнфт 3ао
NVTK,Новатэк ао
MAGN,ММК
PLZL,Полюс
SNGS,Сургнфгз
MTLR,Мечел ао
MGNT,Магнит ао
POLY,Polymetal
SBERP,Сбербанк-п
TCSG,TCS-гдр
FIVE,FIVE-гдр
MOEX,МосБиржа
RASP,Распадская
MTLRP,Мечел ап
AFKS,Система ао
PHOR,ФосАгро ао
MTSS,МТС-ао
MAIL,MAIL-гдр
IRAO,ИнтерРАОао
SNGSP,Сургнфгз-п
TATNP,Татнфт 3ап
AFLT,Аэрофлот
BELU,Белуга ао
SIBN,Газпрнефть
OZON,OZON-адр
SGZH,Сегежа
CBOM,МКБ ао
ENPG,ЭН+ГРУП ао
AGRO,AGRO-гдр
FEES,ФСК ЕЭС ао
DSKY,ДетскийМир
PIKK,ПИК ао
HYDR,РусГидро
RSTI,Россети ао
OGKB,ОГК-2 ао
TRNFP,Транснф ап
RTKM,Ростел -ао
VRSB,ТНСэнВорон
POGR,Petropavl
BANEP,Башнефт ап
GLTR,GLTR-гдр
SMLT,Самолет ао
DVEC,ДЭК ао
UPRO,Юнипро ао
BSPB,БСП ао
RNFT,РуссНфт ао
RENI,Ренессанс
FIXP,FIXP-гдр
MVID,М.видео
HHRU, HHRU-адр
ETLN,ETLN-гдр
LNTA,Лента др
LIFE,Фармсинтз
SELG,Селигдар
GEMC,GEMC-гдр
FESH,ДВМП ао
AKRN,Акрон
LSRG,ЛСР ао
GCHE,ЧеркизГ-ао
UNKL,ЮУНК ао
TGKA,ТГК-1
TRMK,ТМК ао
KAZT,Куйбазот
LSNGP	
РСетиЛЭ-п
ENRU,ЭнелРос ао
RUGR,Русгрэйн
LSNG,РСетиЛЭ
QIWI,QIWI
ABRD,АбрауДюрсо
FLOT,Совкомфлот
MRKP,РСетиЦП ао
MSNG,МосЭнерго
NKNCP,НКНХ ап
UWGN,ОВК ао
MSRS,РСетиМР ао
NMTP,НМТП ао
MDMG,MDMG-гдр
SELGP,Селигдар-п
RTSB,ТНСэнРст
BANE,Башнефт ао
VSMO,ВСМПО-АВСМ
ISKJ,ИСКЧ ао
MRKC,РоссЦентр
TGKB,ТГК-2
ROLO,Русолово
AQUA,РусАква ао
INGR,ИНГРАД ао
MRKU,МРСК Ур
IRGZ,ИркЭнерго





